animal_id,farm_id,species,breed,age_years,weight_kg,sex,physiological_stage,health_status,latitude,longitude,elevation_m,climate_zone,date,temperature_c,humidity_percent,wind_speed_m_s,solar_radiation_w_m2,thi,hli,risk_level
695,FARM_007,goat,Toggenburg,2.4774649658236005,56.94191663967585,female,lactating,healthy,32.092407909780626,4.607232426760907,214.86282948216126,Continental,2023-07-07,37.13,66,2.84,194.53,91.3,37.0,Critical
135,FARM_002,sheep,Dorper,5.393956371499925,66.7452807328543,female,growing,healthy,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-06-18,38.21,42,0.72,136.21,87.15,37.64,Critical
573,FARM_006,goat,Saanen,6.309785849083527,55.33136958568805,female,pregnant,healthy,30.10599457829576,-8.846878747929212,286.14859711627514,Oceanic,2023-06-22,37.04,30,0.11,488.81,83.09,37.95,High
451,FARM_005,sheep,Rambouillet,4.209264971984805,51.89907816449267,female,pregnant,healthy,32.72737450810651,-0.8297745073283096,186.90900933179196,Continental,2023-07-30,38.15,28,0.92,493.86,83.87,38.58,High
721,FARM_008,sheep,Suffolk,1.5888936358156798,69.65519537797005,male,pregnant,healthy,31.359096517992313,20.919300466654363,222.10789607022323,Semi-arid,2023-03-09,17.2,51,1.73,129.24,61.64,16.56,Low
198,FARM_002,cattle,Simmental,8.475782659755621,448.13550481399835,male,dry,healthy,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-07-13,39.35,73,7.88,425.22,96.27,38.21,Critical
129,FARM_002,goat,Alpine,2.2300108603194237,55.169143398552016,male,growing,healthy,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-01-16,10.57,60,0.54,748.92,52.58,14.03,Low
121,FARM_002,goat,Nubian,1.0318000383856325,79.0026865178057,female,growing,healthy,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic,2023-09-21,23.43,76,5.2,317.77,72.06,23.23,Low
364,FARM_004,sheep,Texel,2.930038971668866,63.78061693394727,female,growing,recovering,30.846173685406505,26.099938613341237,472.3487190570876,Continental,2023-10-01,25.99,51,5.99,491.77,73.21,25.02,Low
913,FARM_010,sheep,Merino,3.5057283617293526,66.68304453168463,male,dry,healthy,36.757488779543145,-9.336751942006673,473.99079005818373,Continental,2023-08-28,18.76,31,1.78,241.95,62.8,17.61,Low
356,FARM_004,goat,Alpine,6.598679988061346,65.70260798140765,male,dry,healthy,30.846173685406505,26.099938613341237,472.3487190570876,Continental,2023-09-07,30.77,76,1.42,431.01,83.43,32.99,Moderate
