animal_id,farm_id,species,breed,age_years,weight_kg,sex,physiological_stage,health_status
1,FARM_001,sheep,Suffolk,3.132296384213595,54.883605700319194,female,growing,healthy
2,FARM_001,goat,Nubian,3.971061460667621,41.375540844608736,female,lactating,healthy
3,FARM_001,sheep,Suffolk,4.97390229473994,51.56566462277793,female,dry,healthy
4,FARM_001,sheep,Texel,5.185299851677596,96.09371175115584,female,dry,healthy
5,FARM_001,cattle,Simmental,4.498095607205338,508.53961270955836,male,growing,healthy
6,FARM_001,cattle,Holstein,3.6664615513367416,466.106775625201,male,pregnant,healthy
7,FARM_001,cattle,Hereford,3.641393572462343,405.6319290860338,male,lactating,healthy
8,FARM_001,goat,Alpine,4.635759848686068,77.05203514053396,female,lactating,minor_illness
9,FARM_001,cattle,Hereford,3.9780822236738427,425.4233401144095,male,dry,healthy
10,FARM_001,goat,Nubian,4.8253448281312785,75.48850970305307,male,pregnant,healthy
11,FARM_001,sheep,Dorper,6.325495340318282,78.06385987847482,male,dry,healthy
12,FARM_001,cattle,Jersey,1.2287721406968566,443.15657079732176,male,growing,healthy
13,FARM_001,cattle,Hereford,9.168098265334837,499.71689165954996,male,pregnant,healthy
14,FARM_001,cattle,Angus,7.253064397357341,752.1871356061031,female,lactating,healthy
15,FARM_001,cattle,Hereford,8.23304869209203,474.6280235544143,female,dry,healthy
16,FARM_001,sheep,Texel,3.494084866538824,95.3414220772877,male,lactating,healthy
17,FARM_001,cattle,Hereford,4.173119707007521,521.9125032632116,female,growing,healthy
18,FARM_001,sheep,Rambouillet,5.847052230231892,63.470616689926075,female,pregnant,healthy
19,FARM_001,cattle,Hereford,4.272666421413646,788.7128330883843,female,growing,healthy
20,FARM_001,sheep,Dorper,3.1061481687173877,64.24202471887338,male,pregnant,healthy
21,FARM_001,sheep,Texel,1.3603512587499256,63.93232321183057,male,lactating,healthy
22,FARM_001,sheep,Rambouillet,4.426169321942941,99.28252270553003,female,pregnant,healthy
23,FARM_001,goat,Boer,2.452959629664555,72.12559025519583,male,growing,recovering
24,FARM_001,sheep,Dorper,6.715023112535688,89.91725624922756,male,growing,healthy
25,FARM_001,cattle,Angus,6.318036488694176,671.0257447369129,male,dry,healthy
26,FARM_001,goat,Nubian,4.871036742456699,46.974657160199655,male,growing,healthy
27,FARM_001,sheep,Merino,5.729830819274965,86.7608059620386,female,pregnant,healthy
28,FARM_001,sheep,Dorper,2.5998501525810975,58.74774635479681,female,lactating,healthy
29,FARM_001,cattle,Jersey,9.966283297821318,786.1677405155174,male,lactating,healthy
30,FARM_001,goat,Alpine,2.6732281155530915,68.01431319891086,female,pregnant,healthy
31,FARM_001,sheep,Merino,5.494221523080014,54.206998249752445,female,growing,healthy
32,FARM_001,sheep,Dorper,3.6059793659322015,97.00667212288892,male,lactating,healthy
33,FARM_001,sheep,Suffolk,4.399296275103586,72.42120714931237,male,lactating,healthy
34,FARM_001,cattle,Simmental,2.6094043829919595,546.5875138331439,female,pregnant,healthy
35,FARM_001,cattle,Hereford,5.57932669154884,654.5330472743582,female,dry,healthy
36,FARM_001,sheep,Rambouillet,4.4071950707161855,95.3049393859277,male,dry,healthy
37,FARM_001,cattle,Hereford,7.020316536967897,745.6670260287613,female,lactating,healthy
38,FARM_001,goat,Alpine,1.2616226305266025,79.78202043189364,female,lactating,healthy
39,FARM_001,sheep,Dorper,6.234031417281898,97.65359235119766,male,lactating,healthy
40,FARM_001,goat,Boer,6.881989502296274,43.01385024024513,male,lactating,healthy
41,FARM_001,cattle,Angus,2.5254347201748324,622.7205049833401,male,dry,healthy
42,FARM_001,sheep,Suffolk,5.305050586894188,99.50269250521316,female,pregnant,healthy
43,FARM_001,sheep,Suffolk,6.185380324279431,84.8507870497634,male,dry,healthy
44,FARM_001,cattle,Jersey,8.284250399306622,724.0453578716723,male,growing,minor_illness
45,FARM_001,sheep,Merino,5.395260904640453,59.71369767560211,female,growing,healthy
46,FARM_001,sheep,Texel,7.206320042654619,51.38083859368523,female,dry,healthy
47,FARM_001,goat,Boer,3.793588108794761,61.70578538830306,male,dry,healthy
48,FARM_001,sheep,Merino,1.261437321244501,91.13002803298292,female,pregnant,healthy
49,FARM_001,cattle,Simmental,3.443886242377677,786.1007321563079,male,growing,healthy
50,FARM_001,sheep,Dorper,5.462009310487446,86.30456668613309,male,dry,healthy
51,FARM_001,sheep,Dorper,6.566303363380926,63.54161256310371,female,dry,healthy
52,FARM_001,cattle,Jersey,9.663835732101326,734.3920482048823,male,growing,healthy
53,FARM_001,sheep,Suffolk,2.095059298697602,62.512144908229764,female,dry,healthy
54,FARM_001,cattle,Simmental,6.744435344590153,606.6785029706266,female,pregnant,healthy
55,FARM_001,cattle,Angus,3.229578905510417,542.3890714605046,male,dry,healthy
56,FARM_001,sheep,Texel,1.3220184941522692,52.03644011594851,female,dry,healthy
57,FARM_001,sheep,Suffolk,4.441311125817826,73.67358853902829,male,dry,healthy
58,FARM_001,goat,Saanen,4.695100588313299,65.40374603470575,female,growing,healthy
59,FARM_001,sheep,Dorper,4.521953810060614,92.82449205941612,male,lactating,healthy
60,FARM_001,goat,Saanen,1.1590678632497309,63.43102325093853,male,growing,healthy
61,FARM_001,sheep,Dorper,5.503017529096472,72.91264452457582,male,pregnant,minor_illness
62,FARM_001,goat,Alpine,6.767143382943486,76.21402567824255,female,lactating,healthy
63,FARM_001,goat,Saanen,1.2337787938614018,64.73015537351571,male,lactating,healthy
64,FARM_001,cattle,Jersey,7.134523020755108,536.249827785696,male,lactating,healthy
65,FARM_001,sheep,Rambouillet,3.4383562311723814,96.83240759278536,female,growing,healthy
66,FARM_001,cattle,Holstein,5.931746949232786,569.3883769232474,female,growing,healthy
67,FARM_001,goat,Nubian,3.232108514756699,71.05651842967987,female,pregnant,minor_illness
68,FARM_001,cattle,Hereford,4.860946246375165,700.3484271165989,male,pregnant,healthy
69,FARM_001,cattle,Holstein,5.547271352030714,730.5829864430966,female,lactating,healthy
70,FARM_001,cattle,Hereford,1.0975388633226852,762.1527905677054,female,lactating,healthy
71,FARM_001,sheep,Texel,5.014065216863003,81.59186060848997,male,lactating,healthy
72,FARM_001,cattle,Hereford,7.052666104693346,700.949811775072,male,growing,healthy
73,FARM_001,cattle,Simmental,5.449782742323233,423.02350400665773,male,dry,healthy
74,FARM_001,goat,Toggenburg,3.1054900753124723,44.682680657104235,female,lactating,healthy
75,FARM_001,cattle,Simmental,8.546326873875866,570.4365900187764,female,dry,healthy
76,FARM_001,goat,Saanen,1.879628930152153,60.533046747695714,female,pregnant,healthy
77,FARM_001,cattle,Holstein,8.923239717745751,494.6740774728315,male,lactating,healthy
78,FARM_001,sheep,Texel,1.5845050168906814,88.85734579637185,female,pregnant,healthy
79,FARM_001,sheep,Dorper,1.7783823761430595,74.63125521454296,male,dry,healthy
80,FARM_001,sheep,Texel,1.8317254138765033,55.87631233885524,male,pregnant,healthy
81,FARM_001,cattle,Hereford,9.659552936270877,549.9482318094816,male,lactating,healthy
82,FARM_001,sheep,Rambouillet,7.742557776084279,50.60772373449082,female,lactating,healthy
83,FARM_001,cattle,Simmental,9.936683165073703,429.5186258941595,male,pregnant,minor_illness
84,FARM_001,sheep,Merino,2.5176637461054385,64.72469734197149,male,lactating,healthy
85,FARM_001,goat,Alpine,6.491526050014638,78.34809629631386,female,growing,healthy
86,FARM_001,cattle,Jersey,2.6930904375138516,585.4793619759929,female,growing,healthy
87,FARM_001,cattle,Holstein,3.339548765688364,581.2963387315324,male,lactating,healthy
88,FARM_001,cattle,Hereford,6.425036938209686,508.38305700605196,male,dry,healthy
89,FARM_001,sheep,Suffolk,3.9164734041693543,79.05813105904132,male,dry,healthy
90,FARM_001,sheep,Suffolk,4.861115107808491,58.241713056850045,female,lactating,healthy
91,FARM_001,sheep,Merino,3.6371727895655854,87.4789149988036,male,dry,healthy
92,FARM_001,cattle,Simmental,1.571606466310012,414.72874705439654,male,lactating,healthy
93,FARM_001,goat,Nubian,5.877406054780465,79.98870693144522,female,pregnant,healthy
94,FARM_001,cattle,Simmental,9.502891568941852,739.8589562709647,male,lactating,healthy
