ID	MATR	DNASC	DPAR	LATT	Evento	GLAT	Data	Nota
2	IT018990137111  	2012-12-11	2018-11-05	4	SPOST      	293	2019-08-25	D002A001        
2	IT018990137111  	2012-12-11	2018-11-05	4	MAST       	323	2019-09-24	MASTIPSP        
2	IT018990137111  	2012-12-11	2018-11-05	4	PAPOD      	325	2019-09-26	PS              
2	IT018990137111  	2012-12-11	2018-11-05	4	SPOST      	341	2019-10-12	D001A002        
2	IT018990137111  	2012-12-11	2018-11-05	4	SPOST      	352	2019-10-23	D002A001        
2	IT018990137111  	2012-12-11	2018-11-05	4	ASC        	369	2019-11-09	RILEX           
2	IT018990137111  	2012-12-11	2020-01-02	5	PARTO      	0	2020-01-02	                
2	IT018990137111  	2012-12-11	2020-01-02	5	NOF        	25	2020-01-27	X GAMBE         
2	IT018990137111  	2012-12-11	2020-01-02	5	SPOST      	37	2020-02-08	D004A001        
2	IT018990137111  	2012-12-11	2020-01-02	5	PAPOD      	116	2020-04-27	PSD             
2	IT018990137111  	2012-12-11	2020-01-02	5	VEND       	208	2020-07-28	2020
20	IT018990139961  	2013-01-09	2019-08-28	5	PARTO      	0	2019-08-28	                
20	IT018990139961  	2013-01-09	2019-08-28	5	OK         	23	2019-09-20	-               
20	IT018990139961  	2013-01-09	2019-08-28	5	SPOST      	23	2019-09-20	D004A002        
20	IT018990139961  	2013-01-09	2019-08-28	5	METR       	27	2019-09-24	OSSI-50         
20	IT018990139961  	2013-01-09	2019-08-28	5	OK         	37	2019-10-04	-               
20	IT018990139961  	2013-01-09	2019-08-28	5	VUOTA      	83	2019-11-19	LANSING         
20	IT018990139961  	2013-01-09	2019-08-28	5	PAREGG     	107	2019-12-13	OK              
20	IT018990139961  	2013-01-09	2019-08-28	5	OK         	121	2019-12-27	PG              
20	IT018990139961  	2013-01-09	2019-08-28	5	GRAV       	126	2020-01-01	TECHNO          
20	IT018990139961  	2013-01-09	2019-08-28	5	PAREGG     	136	2020-01-11	OK              
20	IT018990139961  	2013-01-09	2019-08-28	5	SPOST      	239	2020-04-23	D002A001        
20	IT018990139961  	2013-01-09	2019-08-28	5	PAPOD      	243	2020-04-27	ASD             
20	IT018990139961  	2013-01-09	2019-08-28	5	ASC        	338	2020-07-31	                
20	IT018990139961  	2013-01-09	2020-10-06	6	PARTO      	0	2020-10-06	                
20	IT018990139961  	2013-01-09	2020-10-06	6	RITPLAC    	0	2020-10-06	EX+ERGO         
20	IT018990139961  	2013-01-09	2020-10-06	6	SPOST      	15	2020-10-21	D004A002        
20	IT018990139961  	2013-01-09	2020-10-06	6	RICNT      	24	2020-10-30	PGX3            
20	IT018990139961  	2013-01-09	2020-10-06	6	PAPOD      	29	2020-11-04	PSAS            
20	IT018990139961  	2013-01-09	2020-10-06	6	OK         	31	2020-11-06	-               
20	IT018990139961  	2013-01-09	2020-10-06	6	VEND       	38	2020-11-13	2020
26	IT018990139970  	2013-01-27	2018-12-12	4	SPOST      	256	2019-08-25	D002A001        
26	IT018990139970  	2013-01-27	2018-12-12	4	PAPOD      	288	2019-09-26	PS              
26	IT018990139970  	2013-01-27	2018-12-12	4	ASC        	301	2019-10-09	RILEX3/4
26	IT018990139970  	2013-01-27	2019-12-31	5	PARTO      	0	2019-12-31	                
26	IT018990139970  	2013-01-27	2019-12-31	5	SPOST      	27	2020-01-27	D004A001        
26	IT018990139970  	2013-01-27	2019-12-31	5	NOF        	28	2020-01-28	X MAMMEL        
26	IT018990139970  	2013-01-27	2019-12-31	5	VEND       	202	2020-07-20	2020
38	IT018990139986  	2013-02-03	2018-07-07	4	ASC        	398	2019-08-09	RILEX           
38	IT018990139986  	2013-02-03	2019-10-11	5	PARTO      	0	2019-10-11	                
38	IT018990139986  	2013-02-03	2018-07-07	4	PAPOD      	464	2019-10-14	PS              
38	IT018990139986  	2013-02-03	2019-10-11	5	SPOST      	17	2019-10-28	D004A002        
38	IT018990139986  	2013-02-03	2019-10-11	5	OK         	21	2019-11-01	-               
38	IT018990139986  	2013-02-03	2019-10-11	5	PAPOD      	35	2019-11-15	PD              
38	IT018990139986  	2013-02-03	2019-10-11	5	VUOTA      	81	2019-12-31	ANTONIO         
38	IT018990139986  	2013-02-03	2019-10-11	5	GRAV       	105	2020-01-24	PACKARD         
38	IT018990139986  	2013-02-03	2019-10-11	5	PAREGG     	117	2020-02-05	OK              
38	IT018990139986  	2013-02-03	2019-10-11	5	SPOST      	145	2020-03-04	D002A001        
38	IT018990139986  	2013-02-03	2019-10-11	5	ASC        	294	2020-07-31	                
38	IT018990139986  	2013-02-03	2020-11-02	6	PARTO      	0	2020-11-02	                
38	IT018990139986  	2013-02-03	2020-11-02	6	SPOST      	17	2020-11-19	D004A002        
38	IT018990139986  	2013-02-03	2020-11-02	6	RICNT      	25	2020-11-27	PG              
38	IT018990139986  	2013-02-03	2020-11-02	6	RICNT      	32	2020-12-04	PG              
38	IT018990139986  	2013-02-03	2020-11-02	6	OK         	46	2020-12-18	-               
38	IT018990139986  	2013-02-03	2020-11-02	6	FEC        	78	2021-01-19	BBBELGA         
38	IT018990139986  	2013-02-03	2020-11-02	6	VEND       	98	2021-02-08	2021
54	IT018990141384  	2013-03-10	2018-11-17	4	VEND       	269	2019-08-13	19
55	IT018990141387  	2013-03-09	2019-02-23	4	SPOST      	255	2019-11-05	D002A001        
55	IT018990141387  	2013-03-09	2019-02-23	4	PAPOD      	293	2019-12-13	PD              
55	IT018990141387  	2013-03-09	2019-02-23	4	ASC        	339	2020-01-28	                
55	IT018990141387  	2013-03-09	2020-04-02	5	PARTO      	0	2020-04-02	                
55	IT018990141387  	2013-03-09	2020-04-02	5	OK         	22	2020-04-24	-               
55	IT018990141387  	2013-03-09	2020-04-02	5	PAREGG     	25	2020-04-27	OK              
55	IT018990141387  	2013-03-09	2020-04-02	5	SPOST      	40	2020-05-12	D004A002        
55	IT018990141387  	2013-03-09	2020-04-02	5	GRAV       	82	2020-06-23	MAUI            
55	IT018990141387  	2013-03-09	2020-04-02	5	PAREGG     	188	2020-10-07	OK              
55	IT018990141387  	2013-03-09	2020-04-02	5	SPOST      	222	2020-11-10	D002A001        
55	IT018990141387  	2013-03-09	2020-04-02	5	MAST       	227	2020-11-15	MASTIPDP        
55	IT018990141387  	2013-03-09	2020-04-02	5	ASC        	260	2020-12-18	                
55	IT018990141387  	2013-03-09	2021-04-04	6	PARTO      	0	2021-04-04	                
55	IT018990141387  	2013-03-09	2021-04-04	6	SPOST      	17	2021-04-21	D004A001        
55	IT018990141387  	2013-03-09	2021-04-04	6	NOF        	32	2021-05-06	MAMMELLA        
55	IT018990141387  	2013-03-09	2021-04-04	6	PAPOD      	94	2021-07-07	EM              
55	IT018990141387  	2013-03-09	2021-04-04	6	VEND       	109	2021-07-22	2021
59	IT018990141393  	2013-03-20	2018-09-12	4	SPOST      	394	2019-10-11	D002A001        
59	IT018990141393  	2013-03-20	2018-09-12	4	PAREGG     	429	2019-11-15	OK              
59	IT018990141393  	2013-03-20	2018-09-12	4	ASC        	456	2019-12-12	RILEX           
59	IT018990141393  	2013-03-20	2020-02-07	5	PARTO      	0	2020-02-07	                
59	IT018990141393  	2013-03-20	2020-02-07	5	SPOST      	14	2020-02-21	D004A002        
59	IT018990141393  	2013-03-20	2020-02-07	5	RICNT      	21	2020-02-28	PG              
59	IT018990141393  	2013-03-20	2020-02-07	5	OK         	42	2020-03-20	-               
59	IT018990141393  	2013-03-20	2020-02-07	5	GRAV       	81	2020-04-28	STARJACK        
59	IT018990141393  	2013-03-20	2020-02-07	5	PAREGG     	110	2020-05-27	OK              
59	IT018990141393  	2013-03-20	2020-02-07	5	SPOST      	256	2020-10-20	D002A001        
59	IT018990141393  	2013-03-20	2020-02-07	5	PAREGG     	271	2020-11-04	OK              
59	IT018990141393  	2013-03-20	2020-02-07	5	ASC        	295	2020-11-28	NO-ANTIB        
59	IT018990141393  	2013-03-20	2020-02-07	5	ABORTO     	341	2021-01-13	260 GG          
59	IT018990141393  	2013-03-20	2021-01-13	6	ABORTO     	0	2021-01-13	260 GG          
59	IT018990141393  	2013-03-20	2021-01-13	6	VEND       	5	2021-01-18	2021
69	IT018990144032  	2013-05-05	2019-06-22	5	OK         	41	2019-08-02	-               
69	IT018990144032  	2013-05-05	2019-06-22	5	VUOTA      	80	2019-09-10	EXTRA           
69	IT018990144032  	2013-05-05	2019-06-22	5	PAPOD      	114	2019-10-14	PS              
69	IT018990144032  	2013-05-05	2019-06-22	5	GRAV       	122	2019-10-22	WILLIE          
69	IT018990144032  	2013-05-05	2019-06-22	5	SPOST      	266	2020-03-14	D002A001        
69	IT018990144032  	2013-05-05	2019-06-22	5	PAREGG     	340	2020-05-27	OK              
69	IT018990144032  	2013-05-05	2019-06-22	5	ASC        	347	2020-06-03	NO-ANTIB        
69	IT018990144032  	2013-05-05	2020-07-21	6	PARTO      	0	2020-07-21	                
69	IT018990144032  	2013-05-05	2020-07-21	6	SPOST      	27	2020-08-17	D004A002        
69	IT018990144032  	2013-05-05	2020-07-21	6	VEND       	48	2020-09-07	2020-MSU        
72	IT018990144040  	2013-06-07	2019-09-08	4	PARTO      	0	2019-09-08	                
72	IT018990144040  	2013-06-07	2019-09-08	4	PAPOD      	18	2019-09-26	PD              
72	IT018990144040  	2013-06-07	2019-09-08	4	OK         	26	2019-10-04	-               
72	IT018990144040  	2013-06-07	2019-09-08	4	SPOST      	38	2019-10-16	D004A002        
72	IT018990144040  	2013-06-07	2019-09-08	4	GRAV       	79	2019-11-26	LANSING         
72	IT018990144040  	2013-06-07	2019-09-08	4	PAPOD      	125	2020-01-11	PS              
72	IT018990144040  	2013-06-07	2019-09-08	4	PAPOD      	176	2020-03-02	PD              
72	IT018990144040  	2013-06-07	2019-09-08	4	SPOST      	181	2020-03-07	D002A001        
72	IT018990144040  	2013-06-07	2019-09-08	4	MAST       	240	2020-05-05	AD+PD           
72	IT018990144040  	2013-06-07	2019-09-08	4	PAREGG     	262	2020-05-27	OK              
72	IT018990144040  	2013-06-07	2019-09-08	4	ASC        	267	2020-06-01	     3/4
72	IT018990144040  	2013-06-07	2020-08-27	5	PARTO      	0	2020-08-27	                
72	IT018990144040  	2013-06-07	2020-08-27	5	VEND       	18	2020-09-14	2020
77	IT018990144056  	2013-07-07	2018-12-10	4	PAREGG     	290	2019-09-26	OK              
77	IT018990144056  	2013-07-07	2018-12-10	4	VEND       	329	2019-11-04	19
79	IT018990144063  	2013-07-20	2019-09-13	4	PARTO      	0	2019-09-13	                
79	IT018990144063  	2013-07-20	2019-09-13	4	PAPOD      	13	2019-09-26	PD PS           
79	IT018990144063  	2013-07-20	2019-09-13	4	RICNT      	21	2019-10-04	PG              
79	IT018990144063  	2013-07-20	2019-09-13	4	NOF        	22	2019-10-05	GAMB.MAM        
79	IT018990144063  	2013-07-20	2019-09-13	4	SPOST      	41	2019-10-24	D004A002        
