Numero animale	Data	Produzione totale
2519	2021-03-28	20.27
2519	2021-03-28	20.27
9917	2021-03-28	37.58
9917	2021-03-28	37.58
2501	2021-03-28	8.86
2501	2021-03-28	8.86
2494	2021-03-28	25.12
2494	2021-03-28	25.12
2084	2021-03-28	27.08
2084	2021-03-28	27.08
2502	2021-03-28	27.33
2502	2021-03-28	27.33
9909	2021-03-28	0
9909	2021-03-28	0
2234	2021-03-28	28.31
2234	2021-03-28	28.31
3556	2021-03-28	49.04
3556	2021-03-28	49.04
2506	2021-03-28	28.52
2506	2021-03-28	28.52
2137	2021-03-28	18.02
2137	2021-03-28	18.02
2314	2021-03-28	41.56
2314	2021-03-28	41.56
2258	2021-03-28	39.79
2258	2021-03-28	39.79
2242	2021-03-28	39.85
2242	2021-03-28	39.85
2083	2021-03-28	44.81
2083	2021-03-28	44.81
2097	2021-03-28	43.63
2097	2021-03-28	43.63
2477	2021-03-28	30.76
2477	2021-03-28	30.76
2311	2021-03-28	45.96
2311	2021-03-28	45.96
2253	2021-03-28	46.61
2253	2021-03-28	46.61
2134	2021-03-28	14.34
2134	2021-03-28	14.34
2173	2021-03-28	30.91
2173	2021-03-28	30.91
2305	2021-03-28	43.91
2305	2021-03-28	43.91
123	2021-03-28	25.39
123	2021-03-28	25.39
161	2021-03-28	40.18
161	2021-03-28	40.18
2277	2021-03-28	32.44
2277	2021-03-28	32.44
2323	2021-03-28	22.96
2323	2021-03-28	22.96
2121	2021-03-28	31.17
2121	2021-03-28	31.17
1159	2021-03-28	41.21
1159	2021-03-28	41.21
2175	2021-03-28	36.66
2175	2021-03-28	36.66
2366	2021-03-28	28.98
2366	2021-03-28	28.98
3551	2021-03-28	58.78
3551	2021-03-28	58.78
2225	2021-03-28	25.23
2225	2021-03-28	25.23
215	2021-03-28	42.47
215	2021-03-28	42.47
2088	2021-03-28	24.38
2088	2021-03-28	24.38
2332	2021-03-28	36.49
2332	2021-03-28	36.49
2291	2021-03-28	26.23
2291	2021-03-28	26.23
1161	2021-03-28	48.89
1161	2021-03-28	48.89
9927	2021-03-28	47.83
9927	2021-03-28	47.83
2108	2021-03-28	22.39
2108	2021-03-28	22.39
2000	2021-03-28	38.97
2000	2021-03-28	38.97
990	2021-03-28	28.16
990	2021-03-28	28.16
1189	2021-03-28	24.32
1189	2021-03-28	24.32
2064	2021-03-28	26.69
2064	2021-03-28	26.69
9934	2021-03-28	30.7
9934	2021-03-28	30.7
9941	2021-03-28	25.54
9941	2021-03-28	25.54
184	2021-03-28	30.2
184	2021-03-28	30.2
911	2021-03-28	21.41
911	2021-03-28	21.41
2394	2021-03-28	35.92
2394	2021-03-28	35.92
9947	2021-03-28	21.45
9947	2021-03-28	21.45
2023	2021-03-28	42.05
2023	2021-03-28	42.05
1168	2021-03-28	26.87
1168	2021-03-28	26.87
2103	2021-03-28	23.58
2103	2021-03-28	23.58
2090	2021-03-28	28.39
2090	2021-03-28	28.39
2070	2021-03-28	53.38
2070	2021-03-28	53.38
3431	2021-03-28	31.35
3431	2021-03-28	31.35
2276	2021-03-28	39.2
2276	2021-03-28	39.2
2063	2021-03-28	37.17
2063	2021-03-28	37.17
338	2021-03-28	24.11
338	2021-03-28	24.11
2208	2021-03-28	28.74
2208	2021-03-28	28.74
2156	2021-03-28	26.56
2156	2021-03-28	26.56
2144	2021-03-28	30.22
2144	2021-03-28	30.22
2316	2021-03-28	21.92
2316	2021-03-28	21.92
2259	2021-03-28	29.67
2259	2021-03-28	29.67
366	2021-03-28	28.36
366	2021-03-28	28.36
318	2021-03-28	24.74
318	2021-03-28	24.74
3420	2021-03-28	36.6
3420	2021-03-28	36.6
203	2021-03-28	31.65
203	2021-03-28	31.65
1172	2021-03-28	29.79
1172	2021-03-28	29.79
2176	2021-03-28	22.33
2176	2021-03-28	22.33
	2021-03-28	20.98
	2021-03-28	20.98
	2021-03-28	20.98
2139	2021-03-28	30.26
2139	2021-03-28	30.26
2089	2021-03-28	27.26
2089	2021-03-28	27.26
2105	2021-03-28	30.03
2105	2021-03-28	30.03
2022	2021-03-28	19.3
2022	2021-03-28	19.3
3541	2021-03-28	30.34
3541	2021-03-28	30.34
311	2021-03-28	34.04
