Id Sensore,Data-Ora,Valore Medio Giornaliero, Minimo Valore Medio Orario, Massimo Valore Medio Orario
12719,2021-03-01,73.2,32.2,99
12719,2021-03-02,72.3,35.3,99
12719,2021-03-03,81.2,49.5,99
12719,2021-03-04,80,55,99
12719,2021-03-05,75.3,49.8,97.5
12719,2021-03-06,81,68,95.7
12719,2021-03-07,74.1,47.3,95.2
12719,2021-03-08,79.1,53,99
12719,2021-03-09,78.2,48.5,99
12719,2021-03-10,69.9,36,99
12719,2021-03-11,76.2,63.2,87.2
12719,2021-03-12,77,48.2,94.8
12719,2021-03-13,79.2,43,99
12719,2021-03-14,54.7,16.8,97.8
12719,2021-03-15,49.1,27,80.8
12719,2021-03-16,27.8,14,41.7
12719,2021-03-17,42.8,21.2,80.3
12719,2021-03-18,63.4,41.7,83.7
12719,2021-03-19,67.3,37,88.5
12719,2021-03-20,66.1,25.2,96.5
12719,2021-03-21,55.8,28.5,86
12719,2021-03-22,51.9,21.2,83.2
12719,2021-03-23,53,27.3,78.3
12719,2021-03-24,61.8,32.7,90.7
12719,2021-03-25,69.9,36.5,98.8
12719,2021-03-26,69.7,41.8,97.2
12719,2021-03-27,73.3,58.3,89.3
12719,2021-03-28,69.7,42.3,96.3
12719,2021-03-29,66,36.3,95.8
12719,2021-03-30,66,34,94.8
12719,2021-03-31,65,31.5,97.8
12719,2021-04-01,54.7,25,94.8
12719,2021-04-02,41.1,24.2,70.2
12719,2021-04-03,58.4,45.2,75.8
12719,2021-04-04,53.4,29.7,81.5
12719,2021-04-05,57.4,34.5,80.3
12719,2021-04-06,58.7,9.3,95.3
12719,2021-04-07,46.6,8.8,94.2
12719,2021-04-08,51.2,26.7,82
12719,2021-04-09,60.1,41.5,81.7
12719,2021-04-10,63.2,44.5,94
12719,2021-04-11,94.8,87.2,98.8
12719,2021-04-12,89.8,57.8,99
12719,2021-04-13,65,46.7,92.2
12719,2021-04-14,70,40.5,97
12719,2021-04-15,74,58.3,87.2
12719,2021-04-16,71.1,44.8,91.8
12719,2021-04-17,70.8,38.7,99
12719,2021-04-18,68,42.3,87.3
12719,2021-04-19,64.9,35.5,96.5
12719,2021-04-20,61.4,28.7,94.3
12719,2021-04-21,69.9,40.3,96.5
12719,2021-04-22,69.8,39.8,95.5
12719,2021-04-23,67,39.7,93
12719,2021-04-24,60.9,29.8,94
12719,2021-04-25,53.7,27.7,95
12719,2021-04-26,75.9,49.2,95.3
12719,2021-04-27,87.4,75.8,96.7
12719,2021-04-28,81.9,57.5,95.7
12719,2021-04-29,93.8,84.5,99
12719,2021-04-30,89,73.5,99
12719,2021-05-01,96.2,92.2,99
12719,2021-05-02,75,42.2,98.8
12719,2021-05-03,66.2,44.3,90.2
12719,2021-05-04,66.6,41.5,97.5
12719,2021-05-05,71.2,52,91.2
12719,2021-05-06,71,52.8,98.2
12719,2021-05-07,58.8,22.3,89.3
12719,2021-05-08,62,46.5,85.2
12719,2021-05-09,68.4,45.5,94.5
12719,2021-05-10,63.7,40.5,88.8
12719,2021-05-11,91.8,84.5,96.8
12719,2021-05-12,71.9,36,99
12719,2021-05-13,68.2,32,97
12719,2021-05-14,76,50.2,96.5
12719,2021-05-15,74.9,48,99
12719,2021-05-16,80.6,63,93.7
12719,2021-05-17,53.5,19,96.8
12719,2021-05-18,53.1,21,82
12719,2021-05-19,49.2,15.5,90.7
12719,2021-05-20,42.1,15.3,90.2
12719,2021-05-21,50,33.3,77.5
12719,2021-05-22,67.7,47.8,91.8
12719,2021-05-23,59.7,25,92.5
12719,2021-05-24,89.9,74.3,97.5
12719,2021-05-25,67.8,24,99
12719,2021-05-26,65.2,40.5,90.5
12719,2021-05-27,60.6,35.7,89.7
12719,2021-05-28,62.3,41.3,85.5
12719,2021-05-29,60.4,42.2,82.5
12719,2021-05-30,57.5,35.5,84.2
12719,2021-05-31,54.4,39.3,80
12719,2021-06-01,56.8,33.8,86.3
12719,2021-06-02,60.8,41.2,77.7
12719,2021-06-03,55.1,30.7,88.8
12719,2021-06-04,44.6,26.5,79
12719,2021-06-05,57.4,41.3,82.7
12719,2021-06-06,67.3,33.7,94.7
12719,2021-06-07,79,58,95.3
12719,2021-06-08,80.7,54.3,97
12719,2021-06-09,68.4,34,99
12719,2021-06-10,64.1,41.2,95.7
12719,2021-06-11,62.5,38.7,91.5
12719,2021-06-12,63.3,44.2,95.2
12719,2021-06-13,55.9,34,81.7
12719,2021-06-14,62.7,45.3,84.2
12719,2021-06-15,56,37.7,87.3
12719,2021-06-16,67.2,46,90.5
12719,2021-06-17,67.7,48.5,90.8
12719,2021-06-18,57.1,37.5,80.5
12719,2021-06-19,59.9,45.8,75.7
12719,2021-06-20,72.6,48,89
12719,2021-06-21,66.9,48,95.3
12719,2021-06-22,62.7,41.7,86.7
12719,2021-06-23,72.7,51.8,94.2
12719,2021-06-24,65.5,36.5,94.3
12719,2021-06-25,66.1,47.7,88.2
12719,2021-06-26,64.7,40,92.8
12719,2021-06-27,66.9,40.5,91.3
12719,2021-06-28,64.8,38.5,93.2
12719,2021-06-29,63.1,44.8,90.3
12719,2021-06-30,67.6,40,94.7
12719,2021-07-01,62.7,36.7,89.5
12719,2021-07-02,64.7,37.8,89
12719,2021-07-03,72.6,50,92.5
12719,2021-07-04,88.7,79.3,97
12719,2021-07-05,75,38.5,98
12719,2021-07-06,70,48.3,95.3
12719,2021-07-07,72,44.7,94.5
12719,2021-07-08,86.6,53,96.7
12719,2021-07-09,71.9,44.3,97.8
12719,2021-07-10,68,36.8,95.3
12719,2021-07-11,66.5,36.3,92.7
12719,2021-07-12,71.2,48.2,89.2
12719,2021-07-13,73,41.3,90.5
12719,2021-07-14,72.3,45.8,93.2
12719,2021-07-15,75.4,56.8,92.7
12719,2021-07-16,78,46.7,95.8
12719,2021-07-17,76.9,52.5,97
12719,2021-07-18,74.8,46.3,97
12719,2021-07-19,65.2,38.8,88.2
12719,2021-07-20,67.3,45,95
12719,2021-07-21,71.6,50.8,92.3
12719,2021-07-22,75.2,57.2,93.7
12719,2021-07-23,71.8,54.2,90.7
12719,2021-07-24,72.8,56.5,92.5
12719,2021-07-25,75.4,55.7,91.8
12719,2021-07-26,83.5,65.3,95.3
12719,2021-07-27,84.4,68.5,94.8
12719,2021-07-28,80.3,60,91
12719,2021-07-29,74.6,46.8,97
12719,2021-07-30,77.2,58.8,95.3
12719,2021-07-31,78.4,58.3,96
12719,2021-08-01,82.1,66,95.7
12719,2021-08-02,77.2,49.7,98
12719,2021-08-03,74.6,52.3,94
12719,2021-08-04,85.6,75.5,95.8
12719,2021-08-05,76.7,38.5,98
12719,2021-08-06,72.3,48.7,95.3
12719,2021-08-07,76.4,61,93.8
12719,2021-08-08,75.8,53.3,97
12719,2021-08-09,70.6,46.5,93.5
12719,2021-08-10,73.1,42.8,94.8
12719,2021-08-11,75,45.2,95.8
12719,2021-08-12,72.5,40.3,95.7
12719,2021-08-13,71.9,43.5,89.7
12719,2021-08-14,73,42,96.7
12719,2021-08-15,68.2,41.8,96.5
12719,2021-08-16,69.3,45.3,94.7
12719,2021-08-17,67.5,38.5,92.5
12719,2021-08-18,68.8,48.3,87.7
12719,2021-08-19,67.2,44.8,90.7
12719,2021-08-20,71.8,44.3,90.5
12719,2021-08-21,74,42.7,96.7
12719,2021-08-22,72.2,46.2,93.3
12719,2021-08-23,78.3,57.3,95.5
12719,2021-08-24,70.6,41.3,92.8
12719,2021-08-25,72.2,47.3,91.2
12719,2021-08-26,71.3,44.8,95.5
12719,2021-08-27,80,64.3,93.2
12719,2021-08-28,71.5,43.8,88.8
12719,2021-08-29,70.2,40.7,93.2
12719,2021-08-30,71.5,48.8,87.7
12719,2021-08-31,77.3,48.7,91.8
12719,2021-09-01,72.9,40.5,94.3
12719,2021-09-02,69.8,40.7,92.2
12719,2021-09-03,67.4,40.8,89.8
12719,2021-09-04,71.7,39.7,94
12719,2021-09-05,68.9,42,94.8
12719,2021-09-06,67.1,35.7,91
12719,2021-09-07,65.1,37.3,93.8
12719,2021-09-08,64.3,37,81.5
12719,2021-09-09,65.2,34.5,87.2
12719,2021-09-10,70.7,37.3,91
12719,2021-09-11,72.4,37.2,95.7
12719,2021-09-12,71.5,35.2,95.8
12719,2021-09-13,70.5,37,97.5
12719,2021-09-14,77.6,60.7,94
12719,2021-09-15,78.7,52.2,95
12719,2021-09-16,82.9,59.5,98.8
12719,2021-09-17,82.7,53.5,99
12719,2021-09-18,83.6,60.7,99
12719,2021-09-19,86,64.7,98
12719,2021-09-20,73,42.5,97.8
12719,2021-09-21,77.3,48.5,96
12719,2021-09-22,78.2,48.3,99
12719,2021-09-23,77,46.8,97
12719,2021-09-24,77.7,44.2,99
12719,2021-09-25,82.6,63.7,95.5
12719,2021-09-26,97.9,95,99
12719,2021-09-27,91.6,68.8,99
12719,2021-09-28,89,58.8,99
12719,2021-09-29,82.2,52,99
12719,2021-09-30,81.2,51.3,99
12719,2021-10-01,77,48.5,96
12719,2021-10-02,78.2,49.3,98
12719,2021-10-03,95.7,88.7,99
12719,2021-10-04,99,98.8,99
12719,2021-10-05,96,82.3,99
12719,2021-10-06,86.1,50.7,99
12719,2021-10-07,75.5,33.5,99
12719,2021-10-08,73.7,46.3,95.2
12719,2021-10-09,69.4,46.3,90.2
12719,2021-10-10,67.2,42.5,97.7
12719,2021-10-11,80.5,40.7,99
12719,2021-10-12,82.3,49.3,99
12719,2021-10-13,80.7,45.8,99
12719,2021-10-14,78.7,42.5,99
12719,2021-10-15,83.8,46,99
12719,2021-10-16,83.8,48.2,99
12719,2021-10-17,84.3,43.5,99
12719,2021-10-18,83.5,46.5,99
12719,2021-10-19,87.2,55.3,99
12719,2021-10-20,92.7,75.3,99
12719,2021-10-21,98.9,97.8,99
12719,2021-10-22,88.8,59,99.7
12719,2021-10-23,97.7,85.5,99
12719,2021-10-24,79.3,44,99
12719,2021-10-25,83.6,46,99
12719,2021-10-26,85.5,43.3,99.2
12719,2021-10-27,83.1,41.8,99.5
12719,2021-10-28,86.2,49,99.7
12719,2021-10-29,88.2,56.3,99.3
12719,2021-10-30,97.5,86.5,99
12719,2021-10-31,98.5,94.8,99
