Data	animal	ID	lie	stand	chewing	nothing	inactive	active	highActive
2019-08-01	IT018990137111	2	664	776	718	722	460	958	22
2019-08-01	IT018990139961	20	875	445	456	864	420	791	109
2019-08-01	IT018990139970	26	851	589	540	900	544	890	6
2019-08-01	IT018990141387	55	866	574	653	787	463	924	53
2019-08-01	IT018990141393	59	1057	383	614	826	425	1001	14
2019-08-01	IT018990144056	77	844	596	687	753	234	1149	57
2019-08-01	IT018990144071	82	760	680	628	812	428	978	34
2019-08-01	IT018990144072	83	451	989	488	952	182	997	261
2019-08-01	IT018990144073	84	930	510	383	1057	715	721	4
2019-08-01	IT018990144078	89	799	641	757	683	370	1052	18
2019-08-01	IT018990148384	95	959	481	522	918	551	874	15
2019-08-01	IT018990148412	105	951	489	472	968	547	886	7
2019-08-01	IT018990148419	112	662	778	638	802	381	1034	25
2019-08-01	IT018990149163	119	674	766	731	709	289	1145	6
2019-08-01	IT018990149169	123	940	500	678	762	465	970	5
2019-08-01	IT018990149171	125	289	131	167	253	128	231	60
2019-08-01	IT018990149186	136	988	452	538	902	565	858	17
2019-08-01	IT018990149196	142	886	554	619	821	295	1118	27
2019-08-01	IT018990151448	155	841	599	748	692	306	1104	30
2019-08-01	IT018990151453	157	615	825	539	901	230	1071	139
2019-08-01	IT018990151462	163	954	486	701	739	340	1100	0
2019-08-01	IT018990151477	174	808	632	729	711	335	1098	7
2019-08-01	IT018990151481	178	784	656	638	802	270	954	216
2019-08-01	IT018990153994	184	684	756	429	1011	501	916	23
2019-08-01	IT018990154001	187	826	614	636	804	495	921	24
2019-08-01	IT018990157023	201	532	788	650	670	288	988	44
2019-08-01	IT018990157025	203	687	753	577	863	439	997	4
2019-08-01	IT018990157030	207	737	703	733	707	314	1115	11
2019-08-01	IT018990157045	219	730	710	602	838	277	811	351
2019-08-01	IT018990157059	224	693	747	620	820	392	896	152
2019-08-01	IT018990157066	226	681	759	712	728	462	967	11
2019-08-01	IT018990159685	231	712	728	609	831	473	885	82
2019-08-01	IT018990159701	235	611	829	597	843	318	1112	10
2019-08-01	IT018990159704	236	787	653	652	788	333	1096	11
2019-08-01	IT018990162225	242	637	803	798	642	250	1170	20
