Id Sensore,Data-Ora,Valore Medio Giornaliero, Minimo Valore Medio Orario, Massimo Valore Medio Orario
12716,2021-03-01,6.3,-1.3,15.8
12716,2021-03-02,6.7,-1.1,16
12716,2021-03-03,6.5,1.5,13.8
12716,2021-03-04,7.5,0.4,14.5
12716,2021-03-05,10.2,4.4,16.7
12716,2021-03-06,7.1,3.2,8.8
12716,2021-03-07,5.3,-0.9,11.9
12716,2021-03-08,5.8,-1.1,12.5
12716,2021-03-09,6.5,0.9,12.5
12716,2021-03-10,6.8,-0.4,14.6
12716,2021-03-11,7.4,3,10.7
12716,2021-03-12,10.7,6.6,16.7
12716,2021-03-13,8.5,1.9,16.4
12716,2021-03-14,9.1,3,15.2
12716,2021-03-15,8.8,-0.1,16.5
12716,2021-03-16,10.9,6.5,15.8
12716,2021-03-17,7.5,-1.5,15.8
12716,2021-03-18,5.5,0.6,11.8
12716,2021-03-19,4.8,-0.1,10.9
12716,2021-03-20,4.5,-2,11.6
12716,2021-03-21,3.9,-2.4,9.8
12716,2021-03-22,6.8,-2.4,16.5
12716,2021-03-23,7.6,0.4,14.9
12716,2021-03-24,9.4,-0.1,18.4
12716,2021-03-25,10.4,1.8,18.6
12716,2021-03-26,11.9,4.2,18.4
12716,2021-03-27,12.5,9.1,16.8
12716,2021-03-28,12.5,4.9,20.2
12716,2021-03-29,13.6,5.2,22.4
12716,2021-03-30,14.8,6.5,24.3
12716,2021-03-31,15.6,7.5,24.8
12716,2021-04-01,17,7.7,26.9
12716,2021-04-02,18.2,10.8,26.8
12716,2021-04-03,14.7,10.1,19.8
12716,2021-04-04,11.3,6,16.4
12716,2021-04-05,10.4,3,17.4
12716,2021-04-06,8.6,2.2,15.9
12716,2021-04-07,6.4,0.3,12.4
12716,2021-04-08,7.8,-2.9,16.3
12716,2021-04-09,10.4,5.1,14.9
12716,2021-04-10,10.7,7.3,13.6
12716,2021-04-11,9.5,8.1,10.8
12716,2021-04-12,10.3,8.4,12.7
12716,2021-04-13,9.6,5,13.6
12716,2021-04-14,8.8,4.1,13.4
12716,2021-04-15,8.2,5.4,11.2
12716,2021-04-16,8.5,4.2,12.7
12716,2021-04-17,9,1.7,15.3
12716,2021-04-18,10.7,7.1,15.2
12716,2021-04-19,11.7,5.2,17.2
12716,2021-04-20,12.8,4.9,20.1
12716,2021-04-21,12.8,5.4,18.9
12716,2021-04-22,13.8,7.4,19.8
12716,2021-04-23,14.7,8.5,20.7
12716,2021-04-24,15.8,8.1,22.9
12716,2021-04-25,17,8.2,25
12716,2021-04-26,13.1,11.3,14.9
12716,2021-04-27,12.1,9.7,14.3
12716,2021-04-28,14.2,11.5,18
12716,2021-04-29,14.1,12.4,15.4
12716,2021-04-30,15.1,12.1,18.6
12716,2021-05-01,14.4,11.6,16.4
12716,2021-05-02,15.3,10.7,21.4
12716,2021-05-03,14.7,10,19.3
12716,2021-05-04,14.5,8.1,20.6
12716,2021-05-05,15.7,10,21.8
12716,2021-05-06,15.6,9.2,20.4
12716,2021-05-07,18,12.1,24.6
12716,2021-05-08,16.3,12.4,20.7
12716,2021-05-09,17.4,11.2,22
12716,2021-05-10,18,14,22.1
12716,2021-05-11,14.6,13,15.7
12716,2021-05-12,16.3,10.2,23.3
12716,2021-05-13,16.8,11.2,23.4
12716,2021-05-14,14.2,9.7,20
